"id","account","password","name","sex","birth_place_code","area_code","area_detail","phone","emergency_contact_name","emergency_contact_phone","emergency_contact_relationship","is_marry","is_live_alone","is_disability","diseases_history","major_diseases_history","status","birthday","care_level","create_time"
"1048","test20","123456","柳青","0","110000","110105","苹果社区南区6栋202室","17788472302","柳嵋","15010727906","妹妹","1","0","0","[""乙肝""]","[""乙肝""]","1","2/9/1951","1","13/4/2022 21:25:58"
"1049","test21","123456","庞选绪","0","110000","110105","北苑家园望春园12栋203室","17790006770","庞依姗","18237771105","表妹","1","0","0","[""急疹"", ""脑梗死"", ""自身免疫性溶血性贫血""]","[""急疹"", ""脑梗死"", ""自身免疫性溶血性贫血""]","1","15/8/1938","2","13/4/2022 21:25:58"
"1050","test22","123456","韩柔伊","1","110000","110105","北苑家园茉莉园3栋1601室","15975358490","韩嵩","15383269270","哥哥","1","0","0","[""风疹""]","[""风疹""]","1","14/10/1960","1","13/4/2022 21:25:58"
"1051","test23","123456","云捷伍","0","110000","110105","世华泊郡1栋1401室","13355403034","云婉嫣","18373659899","外孙女","1","0","0","[""软组织急性化脓性感染"", ""失血性休克""]","[""软组织急性化脓性感染"", ""失血性休克""]","1","21/7/1934","2","13/4/2022 21:25:58"
"1052","test24","123456","彭伍生","0","110000","110105","东方雅苑6栋1201室","13487293772","彭姗依","13472470107","外甥女表姐","1","1","0","[""肾小球肾炎"", ""风疹""]","[""肾小球肾炎"", ""风疹""]","1","5/12/1943","4","13/4/2022 21:25:58"
"1053","test25","123456","平得剑","0","110000","110105","北苑家园茉莉园11栋1402室","15271213663","平宥钢","13762569578","孙子","1","0","0","[]","[]","1","21/8/1943","2","13/4/2022 21:25:58"
"1054","test26","123456","魏嬿影","1","110000","110105","芍药居北里9栋502室","17822050445","魏姝姗","17751918395","女儿","1","0","0","[""心梗"", ""肾衰"", ""肺结核""]","[""心梗"", ""肾衰"", ""肺结核""]","1","8/2/1945","2","13/4/2022 21:25:58"
"1055","test27","123456","姜姿怡","1","110000","110105","西坝河东里1栋202室","15347214526","姜依瑛","18682311271","妹妹","0","0","0","[""结核性心包炎"", ""右心衰"", ""结核性腹膜炎""]","[""结核性心包炎"", ""右心衰"", ""结核性腹膜炎""]","1","25/2/1951","3","13/4/2022 21:25:58"
"1056","test28","123456","时镜羲","0","110000","110105","南沙滩小区8栋1103室","18269004635","时羲锋","15023167111","外甥","1","1","0","[""脑血栓""]","[""脑血栓""]","1","15/5/1935","3","13/4/2022 21:25:58"
"1057","test29","123456","雷翱寿","0","110000","110105","世华泊郡8栋1102室","15709705543","雷宗锋","15752265759","哥哥","1","0","0","[""房颤"", ""冠心病"", ""肋骨骨折""]","[""房颤"", ""冠心病"", ""肋骨骨折""]","1","28/1/1953","2","13/4/2022 21:25:58"
"1058","test30","123456","苏璎怡","1","110000","110105","农光里4栋1002室","13020730471","苏锴剑","15926159566","表兄","0","1","0","[""肾癌"", ""佝偻病""]","[""肾癌"", ""佝偻病""]","1","21/11/1934","4","13/4/2022 21:25:58"
"1059","test31","123456","宋疆境","0","110000","110105","松榆西里7栋1303室","18025771003","宋瑞","18596074008","外甥","1","0","0","[]","[]","1","15/9/1940","2","13/4/2022 21:25:58"
"1060","test32","123456","萧柔宛","1","110000","110105","松榆西里3栋303室","18276694609","萧堂剑","13259919475","侄子","1","0","0","[""乙肝""]","[""乙肝""]","1","1/3/1950","2","13/4/2022 21:25:58"
"1061","test33","123456","熊姃宛","1","110000","110105","北苑家园茉莉园12栋502室","18694964438","熊得寿","18331943450","外甥","1","0","0","[""桡骨远端骨折"", ""二尖瓣关闭不全"", ""自身免疫性溶血性贫血""]","[""桡骨远端骨折"", ""二尖瓣关闭不全"", ""自身免疫性溶血性贫血""]","1","3/10/1948","2","13/4/2022 21:25:58"
"1062","test34","123456","费宛慈","1","110000","110105","金隅丽景园5栋602室","13717344618","费疆绪","15610871583","哥哥","1","0","0","[""桡骨头半脱位"", ""结核性心包炎"", ""风疹""]","[""桡骨头半脱位"", ""结核性心包炎"", ""风疹""]","1","19/9/1959","2","13/4/2022 21:25:58"
"1063","test35","123456","岑链","0","110000","110105","万科星园10栋1302室","18091888898","岑得锐","15737475220","爱人","1","0","0","[""缺铁性贫血""]","[""缺铁性贫血""]","1","22/12/1935","2","13/4/2022 21:25:58"
"1064","test36","123456","宋纾缘","1","110000","110105","炫特家园二期7栋802室","18364978847","宋锴锋","13617281047","哥哥","1","0","1","[""急性淋巴管炎"", ""肾结石"", ""肺癌"", ""大叶性肺炎"", ""二尖瓣关闭不全""]","[""急性淋巴管炎"", ""肾结石"", ""肺癌"", ""大叶性肺炎"", ""二尖瓣关闭不全""]","1","14/8/1947","4","13/4/2022 21:25:58"
"1065","test37","123456","穆信","0","110000","110105","农光里5栋1502室","15593989622","穆崇剑","18635276416","儿子","1","0","0","[]","[]","1","8/5/1933","2","13/4/2022 21:25:58"
"1066","test38","123456","贾城生","0","110000","110105","松榆西里8栋401室","18143044959","贾骥伍","18972588504","儿子","1","0","0","[""丙肝""]","[""丙肝""]","1","24/2/1935","1","13/4/2022 21:25:58"
"1067","test39","123456","杜庥锐","0","110000","110105","东方雅苑7栋902室","13387699186","杜骥逵","15775521463","外甥","1","0","0","[""桡骨头半脱位""]","[""桡骨头半脱位""]","1","1/4/1947","1","13/4/2022 21:25:58"
"1068","test40","123456","贺冲锋","0","110000","110105","八里庄北里小区7栋302室","13565397208","贺姝惜","15872570269","外甥女表姐","1","0","0","[""呼吸衰竭""]","[""呼吸衰竭""]","1","26/11/1952","2","13/4/2022 21:25:58"
"1069","test41","123456","苗随才","0","110000","110105","苹果社区南区7栋1202室","15593162091","苗昇","18749935344","侄子","1","0","0","[""急性淋巴管炎"", ""肱骨髁上骨折""]","[""急性淋巴管炎"", ""肱骨髁上骨折""]","1","21/6/1943","2","13/4/2022 21:25:58"
"1070","test42","123456","昌镜世","0","110000","110105","一线国际9栋103室","13593365305","昌选","15036890685","儿子","1","0","0","[""子宫肌瘤"", ""前列腺增生""]","[""子宫肌瘤"", ""前列腺增生""]","1","10/1/1955","3","13/4/2022 21:25:58"
"1071","test43","123456","卢馨婵","1","110000","110105","南沙滩小区12栋1603室","18861893628","卢怡怡","17829108231","外甥女表姐","1","0","0","[""急疹"", ""二尖瓣狭窄"", ""急性硬膜外血肿"", ""心梗"", ""肱骨髁上骨折""]","[""急疹"", ""二尖瓣狭窄"", ""急性硬膜外血肿"", ""心梗"", ""肱骨髁上骨折""]","1","12/7/1961","4","13/4/2022 21:25:58"
"1072","test44","123456","臧伟世","0","110000","110105","万科星园12栋403室","13338348859","臧祥剑","15537428526","爱人","1","0","0","[""二尖瓣关闭不全""]","[""二尖瓣关闭不全""]","1","25/4/1941","1","13/4/2022 21:25:58"
"1073","test45","123456","汤娅嫣","1","110000","110105","住欣家园1栋1603室","17791657993","汤纾嫣","15869218605","孙女","0","0","0","[""肾小球肾炎"", ""下尿路感染"", ""左心衰""]","[""肾小球肾炎"", ""下尿路感染"", ""左心衰""]","1","15/7/1962","3","13/4/2022 21:25:58"
"1074","test46","123456","戴勇世","0","110000","110105","国美第一城3号院5栋1301室","15901467032","戴怡靓","13655175019","爱人","1","0","0","[""流脑"", ""化脑"", ""主动脉瓣狭窄"", ""肱骨外科颈骨折""]","[""流脑"", ""化脑"", ""主动脉瓣狭窄"", ""肱骨外科颈骨折""]","1","10/11/1951","2","13/4/2022 21:25:58"
"1075","test47","123456","尹宛馨","1","110000","110105","八里庄北里小区10栋502室","13379024139","尹姿宛","13180596538","外甥女表姐","1","0","0","[""主动脉瓣狭窄""]","[""主动脉瓣狭窄""]","1","17/9/1959","2","13/4/2022 21:25:58"
"1076","test48","123456","梅姿靓","1","110000","110105","北苑家园茉莉园2栋903室","17721482016","梅堂才","15203928350","孙子","1","0","0","[""异位妊娠""]","[""异位妊娠""]","1","16/11/1940","1","13/4/2022 21:25:58"
"1077","test49","123456","齐依璎","1","110000","110105","南沙滩小区9栋1702室","15601586248","齐惜情","13674227522","爱人","1","0","0","[]","[]","1","25/7/1949","1","13/4/2022 21:25:58"
"1078","test50","123456","时秋","0","110000","110105","八里庄北里小区4栋1301室","13125705740","时缘倩","18716443005","表妹","1","0","0","[]","[]","1","1/1/1950","1","13/4/2022 21:25:58"
"1079","test51","123456","周臣城","0","110000","110105","柏林爱乐二期6栋302室","15614388384","周姝柔","13321170762","表妹","1","0","0","[""肾癌"", ""肺结核"", ""髋关节后脱位"", ""丹毒"", ""脑梗死""]","[""肾癌"", ""肺结核"", ""髋关节后脱位"", ""丹毒"", ""脑梗死""]","1","15/4/1942","3","13/4/2022 21:25:58"
"1080","test52","123456","喻嵋嵋","1","110000","110105","住欣家园10栋1001室","18687577530","喻怡娴","13193508074","女儿","1","0","0","[]","[]","1","13/3/1950","1","13/4/2022 21:25:58"
"1081","test53","123456","麻燕纾","1","110000","110105","金隅丽景园8栋701室","15901290345","麻宥铨","15728437801","外孙","1","0","0","[""软组织急性化脓性感染"", ""急性硬膜外血肿"", ""主动脉瓣关闭不全"", ""髋关节后脱位""]","[""软组织急性化脓性感染"", ""急性硬膜外血肿"", ""主动脉瓣关闭不全"", ""髋关节后脱位""]","1","13/6/1935","4","13/4/2022 21:25:58"
"1082","test54","123456","毕姗瑛","1","110000","110105","金隅丽景园12栋1601室","15073419881","毕纾影","18962740942","妹妹","1","0","0","[""白血病""]","[""白血病""]","1","6/3/1950","2","13/4/2022 21:25:58"
"1083","test55","123456","冯韶","0","110000","110105","苹果社区南区12栋203室","18146055348","冯丞","17646756013","儿子","1","0","0","[]","[]","1","9/6/1939","1","13/4/2022 21:25:58"
"1084","test56","123456","孔姝姗","1","110000","110105","金隅丽景园2栋1602室","18681721595","孔勇奎","15170440167","外甥","1","0","0","[]","[]","1","16/8/1952","1","13/4/2022 21:25:58"
"1085","test57","123456","诸镜伍","0","220000","110105","炫特家园二期10栋103室","15720675722","诸庥生","18776520849","孙子","1","1","0","[]","[]","1","25/12/1955","2","13/4/2022 21:25:58"
"1086","test58","123456","熊姝燕","1","110000","110105","金隅丽景园6栋601室","18860131179","熊婉","18211754640","外孙女","1","0","0","[""脑栓塞"", ""支气管哮喘"", ""结脑"", ""冠心病""]","[""脑栓塞"", ""支气管哮喘"", ""结脑"", ""冠心病""]","1","18/10/1935","3","13/4/2022 21:25:58"
"1087","test59","123456","韦姗姃","1","110000","110105","金隅丽景园11栋1303室","18683478997","韦珊缘","15251590273","表妹","1","0","0","[""二尖瓣关闭不全"", ""轮转病毒肠炎"", ""大叶性肺炎"", ""结核性腹膜炎"", ""右心衰""]","[""二尖瓣关闭不全"", ""轮转病毒肠炎"", ""大叶性肺炎"", ""结核性腹膜炎"", ""右心衰""]","1","23/5/1938","3","13/4/2022 21:25:58"
"1088","test60","123456","颜艳娅","1","110000","110105","翠城馨园9栋1403室","15040481865","颜玮","13632922002","表兄","1","1","0","[]","[]","1","23/9/1932","3","13/4/2022 21:25:58"
"1089","test61","123456","周彩缘","1","110000","110105","北苑家园茉莉园9栋1603室","13337572163","周嫣嵋","13856855172","侄女","1","1","0","[""病脑""]","[""病脑""]","1","4/10/1958","3","13/4/2022 21:25:58"
"1090","test62","123456","卞姝翠","1","110000","110105","柏林爱乐二期11栋902室","13265937015","卞勇仁","18591336596","外甥","1","0","0","[]","[]","1","6/9/1942","1","13/4/2022 21:25:58"
"1091","test63","123456","狄镜仁","0","110000","110105","翠城馨园9栋201室","15554304832","狄依柔","18714935243","侄女","1","0","0","[""结核性腹膜炎"", ""脑梗死""]","[""结核性腹膜炎"", ""脑梗死""]","1","14/9/1934","2","13/4/2022 21:25:58"
"1092","test64","123456","解骢","0","110000","110105","柏林爱乐二期1栋602室","18946651567","解锴绪","18447018863","爱人","0","0","0","[""丹毒"", ""呼吸衰竭"", ""异位妊娠"", ""风疹""]","[""丹毒"", ""呼吸衰竭"", ""异位妊娠"", ""风疹""]","1","14/10/1946","4","13/4/2022 21:25:58"
"1093","test65","123456","姜怡嫣","1","110000","110105","东方雅苑1栋701室","18764590553","姜纾婵","13288416518","姐姐","1","0","0","[""缺铁性贫血"", ""流脑"", ""血胸"", ""软组织急性化脓性感染"", ""肾结核""]","[""缺铁性贫血"", ""流脑"", ""血胸"", ""软组织急性化脓性感染"", ""肾结核""]","1","17/3/1961","3","13/4/2022 21:25:58"
"1094","test66","123456","花嬿嫣","1","110000","110105","西坝河东里6栋1502室","18012273569","花翠惜","18644089516","表妹","1","0","0","[""冠心病""]","[""冠心病""]","1","10/9/1935","1","13/4/2022 21:25:58"
"1095","test67","123456","吴守","0","110000","110105","国美第一城3号院11栋502室","17792817032","吴怡","13168525587","外甥女表姐","1","0","0","[""麻疹"", ""猩红热""]","[""麻疹"", ""猩红热""]","1","5/5/1938","2","13/4/2022 21:25:58"
"1096","test68","123456","范山","0","110000","110105","世华泊郡8栋803室","13002251267","范姿圆","15379380116","爱人","1","0","1","[""支气管扩张"", ""急疹""]","[""支气管扩张"", ""急疹""]","1","10/6/1932","4","13/4/2022 21:25:58"
"1097","test69","123456","董庥寿","0","110000","110105","农光里4栋201室","13903474547","董刚璈","18780114963","外甥","1","0","1","[""桡骨头半脱位"", ""房颤""]","[""桡骨头半脱位"", ""房颤""]","1","26/2/1947","4","13/4/2022 21:25:58"
"1098","test70","123456","郎纾靓","1","110000","110105","农光里10栋503室","13029198283","郎怡姝","13879470355","爱人","1","0","0","[""呼吸衰竭"", ""自身免疫性溶血性贫血""]","[""呼吸衰竭"", ""自身免疫性溶血性贫血""]","1","2/4/1960","3","13/4/2022 21:25:58"
"1099","test71","123456","邱昌","0","110000","110105","农光里12栋401室","13129875799","邱惜燕","18918553171","爱人","1","0","0","[]","[]","1","17/12/1951","1","13/4/2022 21:25:58"
"1100","test72","123456","穆惜情","1","110000","110105","苹果社区南区3栋1702室","18316150943","穆羲绪","18999867057","儿子","1","1","0","[""桡骨远端骨折"", ""化脑""]","[""桡骨远端骨折"", ""化脑""]","1","15/8/1948","3","13/4/2022 21:25:58"
"1101","test73","123456","江镜盛","0","810000","110105","一线国际5栋1201室","13404985547","江奎冲","17717306923","表兄","1","0","0","[""结核性腹膜炎"", ""肺脓肿"", ""左心衰"", ""金色葡萄球菌肺炎"", ""髋关节后脱位""]","[""结核性腹膜炎"", ""肺脓肿"", ""左心衰"", ""金色葡萄球菌肺炎"", ""髋关节后脱位""]","1","24/3/1946","4","13/4/2022 21:25:58"
"1102","test74","123456","刁怡瑛","1","110000","110105","八里庄北里小区1栋1403室","13771983475","刁善","18012046934","弟弟","1","1","0","[""脑出血"", ""左心衰"", ""房颤"", ""肱骨髁上骨折"", ""肺心病""]","[""脑出血"", ""左心衰"", ""房颤"", ""肱骨髁上骨折"", ""肺心病""]","1","5/4/1957","4","13/4/2022 21:25:58"
"1103","test75","123456","褚翠惜","1","810000","110105","金隅丽景园4栋1003室","13643219597","褚珊瑛","17864307400","孙女","0","0","0","[""大叶性肺炎""]","[""大叶性肺炎""]","1","26/4/1941","2","13/4/2022 21:25:58"
"1104","test76","123456","彭崇境","0","110000","110105","世华泊郡3栋1103室","13461482133","彭艳彩","15605483647","外孙女","1","0","0","[]","[]","1","16/4/1952","1","13/4/2022 21:25:58"
"1105","test77","123456","伍珠艳","1","110000","110105","金隅丽景园4栋1301室","13295402605","伍姿嵋","15816082395","妹妹","1","0","0","[""乙肝""]","[""乙肝""]","1","21/12/1945","2","13/4/2022 21:25:58"
"1106","test78","123456","邱宥忍","0","110000","110105","住欣家园1栋603室","13975253330","邱祥寿","17739068612","侄子","1","0","0","[""克雷伯杆菌肺炎""]","[""克雷伯杆菌肺炎""]","1","9/2/1953","2","13/4/2022 21:25:58"
"1107","test79","123456","穆珅","0","440000","110105","柏林爱乐二期7栋1302室","15361827362","穆婉影","15952619507","外孙女","1","0","0","[]","[]","1","7/11/1938","2","13/4/2022 21:25:58"
"1108","test80","123456","万璎怡","1","110000","110105","东方雅苑4栋303室","13006341323","万柔柔","13179215071","姐姐","1","0","0","[""急性硬膜外血肿"", ""张力性气胸"", ""急性盆腔炎"", ""肺癌"", ""心梗""]","[""急性硬膜外血肿"", ""张力性气胸"", ""急性盆腔炎"", ""肺癌"", ""心梗""]","1","13/3/1943","4","13/4/2022 21:25:58"
"1109","test81","123456","花倩","1","110000","110105","北苑家园望春园3栋1702室","15631741478","花馨伊","17834668113","妹妹","1","0","0","[""蛛网膜下腔出血""]","[""蛛网膜下腔出血""]","1","3/12/1945","1","13/4/2022 21:25:58"
"1110","test82","123456","祝宛瑛","1","110000","110105","华贸城5栋1203室","13647004981","祝人","15928164848","侄子","1","0","0","[""慢性肾盂肾炎急性发作"", ""硬膜下血肿"", ""肺结核"", ""大叶性肺炎""]","[""慢性肾盂肾炎急性发作"", ""硬膜下血肿"", ""肺结核"", ""大叶性肺炎""]","1","27/8/1945","2","13/4/2022 21:25:58"
"1111","test83","123456","明惜惜","1","810000","110105","金隅丽景园9栋502室","17798649283","明姝嫣","18101649972","外甥女表姐","0","0","0","[""风疹"", ""呼吸衰竭""]","[""风疹"", ""呼吸衰竭""]","1","20/5/1932","2","13/4/2022 21:25:58"
"1112","test84","123456","谢情燕","1","110000","110105","柏林爱乐二期12栋1202室","13896946145","谢刚屹","17688883619","哥哥","1","1","0","[""软组织急性化脓性感染"", ""肾盂肾炎""]","[""软组织急性化脓性感染"", ""肾盂肾炎""]","1","19/7/1959","4","13/4/2022 21:25:58"
"1113","test85","123456","贲疆钢","0","110000","110105","华威北里1栋1303室","13497829409","贲庥绪","13874582787","表兄","1","0","0","[""支原体肺炎"", ""佝偻病"", ""金色葡萄球菌肺炎"", ""主动脉瓣狭窄"", ""缺铁性贫血""]","[""支原体肺炎"", ""佝偻病"", ""金色葡萄球菌肺炎"", ""主动脉瓣狭窄"", ""缺铁性贫血""]","1","26/3/1960","3","13/4/2022 21:25:58"
"1114","test86","123456","席四","0","110000","110105","八里庄北里小区8栋802室","13756135426","席嵋伊","15839572258","爱人","1","0","1","[""肺心病"", ""桡骨远端骨折""]","[""肺心病"", ""桡骨远端骨折""]","1","8/4/1943","4","13/4/2022 21:25:58"
"1115","test87","123456","袁珊瑛","1","110000","110105","北苑家园望春园2栋1301室","15538072982","袁翱冲","18306328002","孙子","1","0","0","[""风疹""]","[""风疹""]","1","25/5/1950","1","13/4/2022 21:25:58"
"1116","test88","123456","柏信","0","110000","110105","一线国际4栋1001室","17838287706","柏姝翠","18541794955","外甥女表姐","0","0","0","[""阵发性室性心动过速""]","[""阵发性室性心动过速""]","1","12/5/1939","2","13/4/2022 21:25:58"
"1117","test89","123456","危怡依","1","110000","110105","八里庄北里小区5栋1702室","15243406949","危怡嫣","18007248403","表妹","1","1","0","[""肱骨干骨折"", ""脑震荡"", ""硬膜下血肿"", ""急疹"", ""脑疝""]","[""肱骨干骨折"", ""脑震荡"", ""硬膜下血肿"", ""急疹"", ""脑疝""]","1","22/9/1957","4","13/4/2022 21:25:58"
"1118","test90","123456","滕燕怡","1","110000","110105","华贸城8栋603室","18303277630","滕姿姿","13559679956","侄女","1","0","0","[""肺结核"", ""输尿管结石"", ""肾结核"", ""股骨颈骨折"", ""肺脓肿""]","[""肺结核"", ""输尿管结石"", ""肾结核"", ""股骨颈骨折"", ""肺脓肿""]","1","6/9/1932","4","13/4/2022 21:25:58"
"1119","test91","123456","许怡韵","1","110000","110105","华贸城5栋201室","13240980242","许屹生","18260698719","表兄","1","0","0","[]","[]","1","10/6/1932","1","13/4/2022 21:25:58"
"1120","test92","123456","吕宗钢","0","110000","110105","一线国际7栋202室","18311537543","吕疆锐","18751244625","弟弟","1","1","0","[""肩关节前脱位"", ""支气管扩张"", ""艾滋病""]","[""肩关节前脱位"", ""支气管扩张"", ""艾滋病""]","1","9/11/1958","4","13/4/2022 21:25:58"
"1121","test93","123456","米婉婵","1","110000","110105","华威北里8栋903室","13627533080","米依姃","13323268613","外甥女表姐","1","0","0","[]","[]","1","5/8/1951","2","13/4/2022 21:25:58"
"1122","test94","123456","危堂世","0","110000","110105","华威北里1栋1503室","13252960790","危惜翠","15032219116","孙女","1","0","1","[]","[]","1","24/6/1939","3","13/4/2022 21:25:58"
"1123","test95","123456","臧宗勇","0","110000","110105","松榆西里8栋901室","13798162816","臧姗缘","18864059789","外甥女表姐","1","0","0","[""病脑""]","[""病脑""]","1","24/11/1958","1","13/4/2022 21:25:58"
"1124","test96","123456","宣翠娅","1","110000","110105","西坝河东里12栋302室","18722249258","宣宥璈","13498007185","表兄","1","0","0","[""流脑"", ""右心衰"", ""呼吸衰竭""]","[""流脑"", ""右心衰"", ""呼吸衰竭""]","1","18/6/1955","2","13/4/2022 21:25:58"
"1125","test97","123456","伍勇璈","0","110000","110105","苹果社区南区12栋1002室","15863436530","伍疆锴","15947411332","外孙","1","0","0","[]","[]","1","20/8/1933","2","13/4/2022 21:25:58"
"1126","test98","123456","时伟生","0","110000","110105","北苑家园茉莉园12栋1302室","13505759031","时依娴","13237401565","妹妹","1","1","0","[""桡骨头半脱位""]","[""桡骨头半脱位""]","1","11/9/1938","4","13/4/2022 21:25:58"
"1127","test99","123456","邓宥","0","110000","110105","松榆西里8栋1101室","13990636209","邓姿婵","18062560525","妹妹","1","1","0","[""心梗"", ""脑震荡"", ""肾结石""]","[""心梗"", ""脑震荡"", ""肾结石""]","1","10/5/1941","4","13/4/2022 21:25:58"
"1128","test100","123456","狄伟铨","0","110000","110105","八里庄北里小区9栋103室","15697801698","狄惜惜","13242767717","妹妹","1","0","0","[]","[]","1","5/11/1938","2","13/4/2022 21:25:58"
"1129","test101","123456","马依宛","1","410000","110105","八里庄北里小区8栋1501室","13433808652","马韵","15981582008","侄女","1","0","0","[""急性盆腔炎"", ""失血性休克""]","[""急性盆腔炎"", ""失血性休克""]","1","17/6/1944","2","13/4/2022 21:25:58"
"1130","test102","123456","穆锴境","0","110000","110105","一线国际5栋303室","18143257611","穆姝宛","15888237525","表妹","1","1","0","[""甲肝"", ""麻疹""]","[""甲肝"", ""麻疹""]","1","22/1/1946","3","13/4/2022 21:25:58"
"1131","test103","123456","祁纬","0","110000","110105","东方雅苑10栋1702室","13995081716","祁娅翠","13259466459","妹妹","1","1","0","[""急疹""]","[""急疹""]","1","9/6/1960","3","13/4/2022 21:25:58"
"1132","test104","123456","彭选才","0","110000","110105","金隅丽景园6栋502室","17652289915","彭疆璈","18781742486","表兄","1","0","1","[""心绞痛""]","[""心绞痛""]","1","20/12/1948","4","13/4/2022 21:25:58"
"1133","test105","123456","汤翠婉","1","110000","110105","炫特家园二期6栋103室","18899431288","汤倩","15139794574","外孙女","1","0","0","[""脑震荡"", ""风疹""]","[""脑震荡"", ""风疹""]","1","11/6/1941","2","13/4/2022 21:25:58"
"1134","test106","123456","冯勇逵","0","110000","110105","国美第一城3号院6栋1003室","13137323333","冯惜嵋","15795731172","姐姐","1","0","1","[""化脑"", ""风疹"", ""脑疝"", ""心梗"", ""肱骨干骨折""]","[""化脑"", ""风疹"", ""脑疝"", ""心梗"", ""肱骨干骨折""]","1","24/12/1934","4","13/4/2022 21:25:58"
"1135","test107","123456","朱怡缘","1","110000","110105","东方雅苑8栋101室","15311535199","朱姗婵","13337000142","外甥女表姐","1","0","0","[""急疹"", ""尿路感染""]","[""急疹"", ""尿路感染""]","1","19/5/1945","3","13/4/2022 21:25:58"
"1136","test108","123456","祝珠艳","1","110000","110105","华威北里11栋1501室","13464225413","祝珊翠","18997450997","孙女","0","0","0","[""下尿路感染"", ""自身免疫性溶血性贫血""]","[""下尿路感染"", ""自身免疫性溶血性贫血""]","1","19/10/1953","2","13/4/2022 21:25:58"
"1137","test109","123456","和宗寿","0","460000","110105","华贸城6栋101室","17640917737","和嫣娅","15091047845","侄女","1","0","1","[""阵发性室性心动过速"", ""麻疹"", ""硬膜下血肿"", ""猩红热""]","[""阵发性室性心动过速"", ""麻疹"", ""硬膜下血肿"", ""猩红热""]","1","17/2/1932","4","13/4/2022 21:25:58"
"1138","test110","123456","江疆逵","0","140000","110105","安贞西里12栋1003室","17620690490","江羽","18104932102","外甥","1","0","1","[]","[]","1","16/1/1961","3","13/4/2022 21:25:58"
"1139","test111","123456","窦选捷","0","110000","110105","珠江帝景9栋303室","13774278070","窦姃影","13174522890","外孙女","1","0","0","[""左心衰"", ""支气管哮喘""]","[""左心衰"", ""支气管哮喘""]","1","12/8/1944","2","13/4/2022 21:25:58"
"1140","test112","123456","洪刚锐","0","210000","110105","华贸城6栋203室","15251725637","洪倩翠","18099387190","孙女","1","0","0","[""白血病""]","[""白血病""]","1","10/10/1935","1","13/4/2022 21:25:58"
"1141","test113","123456","孟冲硕","0","110000","110105","柏林爱乐二期10栋1703室","15129334469","孟姿情","18115141509","外甥女表姐","1","0","0","[""异位妊娠""]","[""异位妊娠""]","1","11/10/1959","1","13/4/2022 21:25:58"
